Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
DXCM,DexCom Inc. Common Stock,$355.99,1.76,0.497%,34184866392.00,United States,2005,612543,Health Care,Medical/Dental Instruments
EA,Electronic Arts Inc. Common Stock,$141.51,2.08,1.492%,41017258502.00,United States,,1762439,Technology,Computer Software: Prepackaged Software
EBAY,eBay Inc. Common Stock,$51.13,-0.49,-0.949%,35245879039.00,United States,1998,4739338,Miscellaneous,Business Services
ENPH,Enphase Energy Inc. Common Stock,$180.32,3.05,1.721%,22780288481.00,United States,2012,2533195,Technology,Semiconductors
ENTG,Entegris Inc. Common Stock,$95.77,-1.83,-1.875%,12928224542.00,United States,2000,440487,Consumer Non-Durables,Plastic Products
EQIX,Equinix Inc. Common Stock REIT,$703.08,-10.36,-1.452%,62645638001.00,United States,2000,342359,Consumer Services,Real Estate Investment Trusts
ERIC,Ericsson American Depositary Shares,$11.73,-0.05,-0.424%,39037440000.00,Sweden,,5508883,Technology,Radio And Television Broadcasting And Communications Equipment
ERIE,Erie Indemnity Company Class A Common Stock,$251.00,0.96,0.384%,13124756868.00,United States,,364114,Finance,Specialty Insurers
ETSY,Etsy Inc. Common Stock,$190.17,-7.21,-3.653%,23978719004.00,United States,2015,2095429,Miscellaneous,Business Services
EXAS,Exact Sciences Corporation Common Stock,$141.00,-1.12,-0.788%,21209788935.00,United States,2001,1263141,Health Care,Biotechnology: Commercial Physical & Biological Resarch
EXC,Exelon Corporation Common Stock,$41.71,-0.05,-0.12%,40691127432.00,United States,,3322920,Public Utilities,Power Generation
EXPD,Expeditors International of Washington Inc. Common Stock,$94.51,-0.19,-0.201%,15997300551.00,United States,,658516,Transportation,Oil Refining/Marketing
EXPE,Expedia Group Inc. Common Stock,$126.49,3.34,2.712%,17893456281.00,United States,,1353596,Consumer Services,Transportation Services
FAST,Fastenal Company Common Stock,$49.09,-0.38,-0.768%,28180276153.00,United States,1987,1935021,Consumer Services,RETAIL: Building Materials
FB,Facebook Inc. Class A Common Stock,$268.11,1.02,0.382%,763655748022.00,United States,2012,14306125,Technology,Computer Software: Programming Data Processing
FFIV,F5 Networks Inc. Common Stock,$175.86,0.22,0.125%,10833521518.00,United States,1999,298484,Technology,Computer Communications Equipment
FISV,Fiserv Inc. Common Stock,$110.64,0.12,0.109%,73976160835.00,United States,1986,2905655,Technology,EDP Services
FITB,Fifth Third Bancorp Common Stock,$27.73,0.80,2.971%,19755404382.00,United States,,3569501,Finance,Major Banks
FIVN,Five9 Inc. Common Stock,$179.99,-6.66,-3.568%,11876022244.00,United States,2014,658358,Technology,EDP Services
FOX,Fox Corporation Class B Common Stock,$27.75,0.77,2.854%,16521603275.00,United States,,1062971,Consumer Services,Broadcasting
FOXA,Fox Corporation Class A Common Stock,$28.11,0.84,3.08%,16735937588.00,United States,,3292727,Consumer Services,Broadcasting
FSLR,First Solar Inc. Common Stock,$101.83,-3.33,-3.167%,10791553289.00,United States,2006,2941499,Technology,Semiconductors
FTNT,Fortinet Inc. Common Stock,$150.24,-1.91,-1.255%,24388770948.00,United States,2009,1005714,Technology,Computer peripheral equipment
GDRX,GoodRx Holdings Inc. Class A Common Stock,$47.59,-0.73,-1.511%,18573529755.00,United States,2020,1336208,Technology,EDP Services
GDS,GDS Holdings Limited ADS,$92.44,-1.06,-1.134%,17276795101.00,China,2016,531164,Technology,Computer Software: Programming Data Processing
GH,Guardant Health Inc. Common Stock,$134.44,-1.49,-1.096%,13440287574.00,United States,2018,1077215,Health Care,Medical Specialities
GILD,Gilead Sciences Inc. Common Stock,$57.38,0.38,0.667%,71927445190.00,United States,1992,8491732,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GMAB,Genmab A/S ADS,$39.09,-0.90,-2.251%,25621832893.00,Denmark,2019,416580,Health Care,Major Pharmaceuticals
